,w,thetav
166,1.297,294.1874408504139
167,1.2455,294.2649176413399
168,1.33225,294.0519577466965
169,1.32575,294.14296513869056
170,1.3085,294.0751523220502
171,1.41675,294.07610379373074
172,1.355,293.9554354211972
173,1.58775,293.9460400553102
174,1.5425,294.0813347574675
175,1.42425,293.98110011120605
176,1.53475,293.83680047173164
177,1.425,293.92528909504307
178,1.2835,293.9344599004227
179,1.2795,294.0070509936817
180,1.4075,294.0030516616265
181,1.45775,293.9119861302945
182,1.3869999999999998,293.8350875440312
183,1.446,293.80096688001754
184,1.357,293.87346777805163
185,1.34775,293.80568228517336
186,1.31325,293.83896102151897
187,1.2615,293.83547363655026
188,1.4325,293.8152999740533
189,1.22325,293.76566179243326
190,1.2545,293.7578028432555
191,1.2485,293.75658673975283
192,1.28175,293.81403016654446
193,1.3335,293.6935161087883
194,1.153,293.73760027878245
195,1.2405,293.80148329595727
196,1.2209999999999999,293.83031393832164
197,1.215,293.7906372865283
198,1.20025,293.71806500926976
199,1.1875,293.80322695053616
200,1.19475,293.7669772895535
201,1.16275,293.7358872146348
202,1.12575,293.8087986725704
203,1.215,293.78461958443677
204,1.19425,293.7928364007355
205,1.234,293.7669772895535
206,1.32225,293.7422727634094
207,1.359,293.827817651638
208,1.27925,293.7871499015596
209,1.27,293.8091693165636
210,1.25175,293.81919027561054
211,1.03675,293.76816302784096
212,0.9495,293.8347521855607
213,0.9630001,293.9598570337682
214,0.86225,293.8986942872033
215,0.9395,294.0139338407037
216,0.80525,294.0437366027359
217,0.92475,294.0126433763675
218,0.8645,293.9884642882339
219,0.8865001,293.95866712831946
220,0.7495,294.0531190891015
221,0.70675,293.97767398291063
222,0.71375,294.0402795336185
223,0.56925,294.00573943597675
224,0.8535001,293.97767398291063
225,0.90575,294.05268034197996
226,0.7979999999999999,293.99533763509265
227,0.66525,293.9957051039434
228,0.6752501000000001,294.03379891668595
229,0.696,294.1024863820433
230,0.78425,294.0859841234705
231,0.7392501,294.0731165913116
232,0.68325,294.0195575146023
233,0.59075,294.0398235423169
234,0.58075,294.0295247638099
235,0.8437501000000001,294.04331085147476
236,0.9525,294.14296513869056
237,0.9545,294.20519762542784
238,0.78975,294.25929968943103
239,0.8545001,294.1452483650735
240,0.72575,294.1407737665748
241,0.68125,294.18918436610903
242,0.57425,294.1348578152728
243,0.61125,294.10107054951783
244,0.5815001000000001,294.1521312120955
245,0.55425,294.24069776183023
246,0.5745,294.1659478901916
247,0.5617501,294.2234634054634
248,0.623,294.23204999011483
249,0.5625,294.21997574281403
250,0.562,294.1620029975695
251,0.5527501,294.1567821171485
252,0.48525,294.1543118252719
253,0.4205,294.1400581885784
254,0.48275,294.0726776654354
255,0.32625,294.067456898509
256,0.23425,293.99149066100665
