DateTime,Temperature,Dewpoint Temp,Humidity,Atmospheric Pressure,Wind Speed,Wind Direction,Solar Irradiance
2026-03-31 00:12:22,17.3,11.6551,69,1014.5,2.54,100.6,-0.935
2026-03-31 00:12:32,17.2,11.5443,69,1014.5,2.73,100.2,-0.924
2026-03-31 00:12:42,17.3,11.5443,69,1014.5,2.74,103.0,-0.927
2026-03-31 00:12:52,17.3,11.5443,69,1014.5,2.55,103.1,-0.87
2026-03-31 00:13:02,17.3,11.6551,70,1014.5,2.43,102.1,-0.851
2026-03-31 00:13:12,17.2,11.5443,69,1014.5,2.88,95.4,-0.943
2026-03-31 00:13:22,17.3,11.5443,69,1014.5,2.5,103.8,-0.824
2026-03-31 00:13:32,17.3,11.6551,69,1014.5,2.39,101.8,-0.82
2026-03-31 00:13:42,17.3,11.5443,69,1014.5,1.97,105.5,-0.835
2026-03-31 00:13:52,17.3,11.5443,69,1014.5,2.3,101.5,-0.87
2026-03-31 00:14:02,17.3,11.5443,69,1014.5,2.1,99.5,-0.87
2026-03-31 00:14:12,17.4,11.5443,69,1014.5,2.75,97.6,-0.851
2026-03-31 00:14:22,17.3,11.5443,69,1014.5,2.3,98.8,-0.847
2026-03-31 00:14:32,17.3,11.5443,69,1014.5,2.12,99.2,-0.839
2026-03-31 00:14:42,17.3,11.6551,69,1014.5,2.59,102.7,-0.889
2026-03-31 00:14:52,17.2,11.6551,70,1014.5,2.64,102.7,-0.832
2026-03-31 00:15:02,17.2,11.5443,70,1014.5,2.49,102.5,-0.832
2026-03-31 00:15:12,17.2,11.5443,69,1014.5,2.92,95.4,-0.851
2026-03-31 00:15:22,17.2,11.6551,70,1014.5,3.03,95.1,-0.924
2026-03-31 00:15:32,17.2,11.6551,70,1014.5,2.67,100.2,-0.935
2026-03-31 00:15:42,17.2,11.6551,70,1014.5,2.88,93.7,-0.809
2026-03-31 00:15:52,17.3,11.5443,69,1014.5,2.26,100.0,-0.889
2026-03-31 00:16:02,17.3,11.6551,69,1014.5,2.39,98.5,-0.954
2026-03-31 00:16:12,17.2,11.5443,69,1014.5,2.2,96.2,-0.908
2026-03-31 00:16:22,17.3,11.6551,70,1014.5,2.65,90.0,-1.004
2026-03-31 00:16:32,17.3,11.6551,69,1014.5,2.03,94.5,-0.839
2026-03-31 00:16:42,17.2,11.5443,69,1014.5,2.05,98.1,-0.912
2026-03-31 00:16:52,17.3,11.5443,69,1014.5,2.39,101.1,-1.027
2026-03-31 00:17:02,17.3,11.6551,69,1014.5,2.36,98.3,-0.954
2026-03-31 00:17:12,17.3,11.5443,69,1014.5,2.6,103.7,-0.97
2026-03-31 00:17:22,17.3,11.5443,69,1014.5,2.66,103.1,-0.954
2026-03-31 00:17:32,17.3,11.5443,69,1014.5,2.55,97.0,-0.859
2026-03-31 00:17:42,17.2,11.6551,69,1014.5,2.13,105.6,-0.897
2026-03-31 00:17:52,17.3,11.6551,70,1014.5,2.47,94.1,-0.912
2026-03-31 00:18:02,17.3,11.5443,69,1014.5,3.22,98.0,-0.847
2026-03-31 00:18:12,17.2,11.5443,70,1014.5,2.91,98.0,-0.939
2026-03-31 00:18:22,17.2,11.6551,70,1014.5,2.95,103.4,-0.989
2026-03-31 00:18:32,17.2,11.6551,70,1014.5,2.51,110.2,-0.989
2026-03-31 00:18:42,17.3,11.5443,69,1014.5,2.46,107.7,-0.859
2026-03-31 00:18:52,17.3,11.5443,69,1014.5,2.2,105.5,-0.847
2026-03-31 00:19:02,17.3,11.6551,69,1014.5,1.87,105.1,-0.797
2026-03-31 00:19:12,17.3,11.6551,70,1014.5,2.85,96.0,-0.905
2026-03-31 00:19:22,17.4,11.6551,69,1014.5,2.78,99.3,-0.889
2026-03-31 00:19:32,17.3,11.5443,69,1014.5,2.46,108.3,-0.774
2026-03-31 00:19:42,17.3,11.5443,69,1014.5,2.51,108.3,-0.82
2026-03-31 00:19:52,17.3,11.5443,69,1014.5,2.46,98.9,-0.794
2026-03-31 00:20:02,17.2,11.6551,70,1014.5,2.59,95.4,-0.901
2026-03-31 00:20:12,17.1,11.5443,70,1014.5,2.75,94.7,-0.859
2026-03-31 00:20:22,17.2,11.5443,70,1014.5,2.48,97.9,-0.924
2026-03-31 00:20:32,17.2,11.6551,70,1014.5,2.69,107.8,-0.966
2026-03-31 00:20:42,17.2,11.5443,70,1014.5,2.86,100.6,-0.866
2026-03-31 00:20:52,17.1,11.5443,69,1014.5,2.7,98.0,-0.905
2026-03-31 00:21:02,17.1,11.5443,70,1014.5,2.56,99.1,-0.943
2026-03-31 00:21:12,17.1,11.6551,70,1014.5,2.73,96.5,-0.916
2026-03-31 00:21:22,17.1,11.6551,70,1014.5,2.63,98.1,-0.893
2026-03-31 00:21:32,17.1,11.6551,70,1014.5,2.97,102.1,-0.958
2026-03-31 00:21:42,17.1,11.6551,70,1014.5,2.79,100.8,-0.962
2026-03-31 00:21:52,17.1,11.6551,70,1014.5,2.96,105.4,-1.058
2026-03-31 00:22:02,17.2,11.6551,70,1014.5,3.24,102.8,-0.905
2026-03-31 00:22:12,17.1,11.6551,70,1014.5,2.84,102.4,-0.893
2026-03-31 00:22:22,17.1,11.7652,71,1014.5,2.91,103.0,-0.843
2026-03-31 00:22:32,17.2,11.5443,70,1014.5,2.69,104.4,-0.962
2026-03-31 00:22:42,17.2,11.6551,70,1014.5,1.27,93.9,-0.813
2026-03-31 00:22:52,17.2,11.5443,70,1014.5,2.74,100.3,-0.755
2026-03-31 00:23:02,17.1,11.5443,70,1014.5,2.67,99.2,-0.832
2026-03-31 00:23:12,17.1,11.5443,70,1014.5,3.01,104.8,-0.905
2026-03-31 00:23:22,17.1,11.5443,70,1014.5,3.12,98.8,-0.755
2026-03-31 00:23:32,17.0,11.6551,70,1014.5,3.05,97.5,-0.866
2026-03-31 00:23:42,17.0,11.6551,70,1014.5,2.59,99.3,-0.794
2026-03-31 00:23:52,17.0,11.6551,71,1014.5,3.32,98.4,-0.912
2026-03-31 00:24:02,17.1,11.6551,70,1014.5,2.89,101.5,-0.874
2026-03-31 00:24:12,17.0,11.6551,71,1014.5,2.73,98.7,-0.905
2026-03-31 00:24:22,17.1,11.5443,70,1014.5,3.11,98.6,-0.928
2026-03-31 00:24:32,17.1,11.6551,70,1014.5,2.45,95.3,-0.943
